Case,PriceNA,PriceEU,Category,Favorite,Exclude
Tight Budget,0.12,0.12,0,FALSE,FALSE
Play the Cards Right,0.29,0.31,0,FALSE,FALSE
Budget Comeback,0.48,0.62,0,FALSE,FALSE
Cheap Games,0.52,0.52,0,FALSE,FALSE
Hype Box,1.11,1.24,1,FALSE,FALSE
Safe Way,1.39,1.39,1,FALSE,FALSE
Steam Games Collector,1.55,1.55,1,FALSE,FALSE
1% Console,1.88,1.99,1,FALSE,FALSE
Gaming Only,1.95,2.07,1,FALSE,FALSE
Cheap 10%,1.97,2.59,1,FALSE,FALSE
Dream Car,2.12,2.74,1,FALSE,FALSE
Only One,2.32,2.5,1,FALSE,FALSE
Supremely Lucky,2.37,2.73,1,FALSE,FALSE
Dunk 1,2.45,2.98,1,FALSE,FALSE
Mini Games,2.48,2.5,1,FALSE,FALSE
Budget Battle,2.65,2.65,1,FALSE,FALSE
Feeling Lucky,3.26,4.3,1,FALSE,FALSE
Setup Booster,3.28,3.39,1,FALSE,FALSE
Tech Starter Pack,3.56,3.68,1,FALSE,FALSE
10% All in One,2.66,4.05,1,FALSE,FALSE
10% Gaming - Tech,3.79,4.54,1,FALSE,FALSE
Half Way,3.87,3.99,1,FALSE,FALSE
1% Designer,4.34,3.85,1,FALSE,FALSE
Jordan 1,4.36,5.6,1,FALSE,FALSE
Logistical Nightmare,4.67,4.94,1,FALSE,FALSE
Hype Challenge,5.11,6.38,2,FALSE,FALSE
Hot on a Budget,5.18,5.87,2,FALSE,FALSE
Trick or Treat,5.43,5.58,2,FALSE,FALSE
10% Designer Boost,5.51,6.73,2,FALSE,FALSE
50-50,5.68,10.11,2,FALSE,FALSE
Switch Up,5.71,6.46,2,FALSE,FALSE
5% Ray Tracing On,6.01,7.44,2,FALSE,FALSE
Race to the Top,6.23,5.89,2,FALSE,FALSE
Brick Fit,6.57,10.13,2,FALSE,FALSE
Click,6.95,7.55,2,FALSE,FALSE
Wardrobe Classics,7.55,7.66,2,FALSE,FALSE
Knockout,7.68,9.96,2,FALSE,FALSE
Top-Up or Play,8.49,8.57,2,FALSE,FALSE
Budget Hype,8.75,13.1,2,FALSE,FALSE
Fancy Gaming,8.8,10.15,2,FALSE,FALSE
Console 50-50,8.82,8.93,2,FALSE,FALSE
Christmas Stocking,8.98,9.35,2,FALSE,FALSE
10% PS5,9.12,10.88,2,FALSE,FALSE
Collectors Dream,9.35,11.39,2,FALSE,FALSE
Take a Flight,9.68,10.15,2,FALSE,FALSE
Lucky Off,9.86,11.9,2,FALSE,FALSE
Forgotten Vault,10.47,12.48,3,FALSE,FALSE
Kanye Farewell,10.55,13.25,3,FALSE,FALSE
Golden Egg,10.62,12.43,3,FALSE,FALSE
Rare Candy,11.58,14.79,3,FALSE,FALSE
Game Mania,12.03,13.75,3,FALSE,FALSE
Supreme or Not,12.85,16.27,3,FALSE,FALSE
Garage Sale,12.94,13.68,3,FALSE,FALSE
Got Em,15.32,17.1,3,FALSE,FALSE
Evil Pumpkin,16.91,20.13,3,FALSE,FALSE
Sticker or Cent,17.27,22.9,3,FALSE,FALSE
Game of Battle,18.01,20.29,3,FALSE,FALSE
Play has No Limits,19.13,22.16,3,FALSE,FALSE
SHEEEEEEESH,19.8,21.06,3,FALSE,FALSE
Can You Hear Me,20.19,22.15,3,FALSE,FALSE
